salesCode,description,usd,ngultrum
E019BB-S-BD,"5 Pronged Bell Earrings Silver CZ, Black Diamonds 0.525 CTS",240,
E021-YG18,Hanging Endless Knot Earrings 18k Yellow Gold 1.3cts diamonds 13.34g,3596,262500
E023-YG14-TQ,"14K Blue Sapphire & Turquoise, Double Dorje, Endless Knot Earrings. Total weight 10.07g, Gold weight 6.44g",1576,115000
E025-S,"Tam Earrings, Small, Silver",83,6000
E025-YG18,"Tam Earrings, Small, Yellow 18k Gold, 3.92g",1124,82000
E025-YGP,"Tam Earrings, Small, Yellow Gold Plated",96,7000
E026-S,"Malaya Logo Earrings, Silver, CZ",62,4500
E026-YG14,"Malaya Logo Earrings, Yellow 14k Gold, diamond 2.36g .025 CTS.",357,26000
E026-YG14-DIA,"Malaya Logo Earrings, Yellow Gold Plated, CZ Diamonds Yellow 14k Gold, diamond 2.36g .025 CTS.:",357,
E026-YG18,"Malaya Logo Earrings, Yellow 18k Gold, diamond 2.74g .025 CTS.",548,40000
E026-YGP,"Malaya Logo Earrings, Yellow Gold Plated, CZ Diamonds",69,5000
E027-S,"Endless Knot Stud Earrings, Silver, omega clip",83,6000
E027-YGP,"Endless Knot Stud Earrings, Yellow Gold Plated, omega clip",103,7500
E028-S,"Phurba Earrings Smaller, Silver, clip 39mm",124,9000
E028-YG18,"Phurba Earrings Larger, GOLD 18K, 14.05g 47mm",2685,196000
E029-YG14-TQ,"Turquoise Earrings. Diamonds: 0.45 CTS. 14k gold: 4.61g, total weight: 5.86g turquoise: 6.27cts",1425,104000
E029-YG18-TQ,"Turquoise Earrings with Diamonds: 0.53 cts. 18k gold: 5.74g, total weight: 5.85g turquoise: 6.27cts",2110,
E030-YG14,"Endless Knot Earrings, Larger GOLD 14K, 23mm, 9.05g",1548,113000
E032-S-CZ,"Endless Knot Earrings Silver, CZ",151,11000
E033-S-GREEN,"Tam Syllable Earrings, Silver, Green Enamel",83,6000
E034-S-BLUE,"Hung Syllable Earrings, Silver, Blue Enamel",83,6000
E035-S-CZ,"Om syllable earrings, Silver, CZ",165,12000
