sku,code,name,category,material,qty,cost,retail,images,productIds
P052-S,P052,"Bam Syllable Pendant, Silver, with chain 2.59g",Pendants,Silver,,,82.19,5,p027
P052-YG14,P052,"Bam Syllable Pendant, Yellow Gold 14k, 3.23g",Pendants,14k Gold,,,561.64,5,p036
P055-S,P055,"Double Dorje Pendant, Silver, CZ Diamond, With Chain",Pendants,Silver,7,35.87,109.59,2,p029
P055-YG14,P055,"Double Dorje Pendant, Yellow 14K Gold, 2.72g, central diamond .029cts, pendant only",Pendants,14k Gold,,,479.45,4,p052
P056-WG18-BS,P056,"New Hung Syllable Pendant, Natural Blue Sapphires, 43mm, with chain 18k White Gold - 5.35g",Pendants,White Gold,,,1643.84,,p079
P057-S-CZ,P057,,Pendants,Silver,,,,4,
P057-WG14-DIA,P057,"Hung Syllable Pendant Diamond 0.41 CTS, Small WG14 With Chain",Pendants,White Gold,,,1438.36,4,
P058-S-B,P058,Hung Syllable Pendant Silver Blue Enamel with chain,Pendants,Silver,4,37.78,116.44,6,p039
P059-S-G,P059,"Tam Syllable Pendant, Silver, Green Enamel, with chain",Pendants,Silver,,,95.89,4,p038
P060-YGP-R,P060,"Bam Syllable Pendant, Yellow Gold Plated, Red Enamel with chain",Pendants,Gold Plated,,,109.59,6,p037
P061-S,P061,"Hri Syllable Pendant Silver, Larger, With Chain",Pendants,Silver,,,95.89,5,p022
P064-YGP-CZ,P064,"Double Vajra Medallion, Gold Plated, CZ, With Chain 55cm",Pendants,Gold Plated,2,46.58,219.18,5,p033
P065-S,P065,"Om syllable pendant, no frame, Tashi Mannox Design, Silver, with chain",Pendants,Silver,5,25.09,82.19,5,p026
P065-YG18,P065,"Om Syllable Pendant, NEW, Yellow Gold 18k, Pendant Only 4.3g",Pendants,18k Gold,,,767.12,4,p028
P066-YG14-RR,P066,"Longevity Vase Bumpa Pendant, Yellow Gold 14k: 13.72g, Red Rubies .14cts, Openable",Pendants,14k Gold,1,793.95,2082.19,7,
P066-YG14-SRB,P066,"Longevity Vase Bumpa Pendant, Yellow Gold 14k: 13.72g, Red Rubies, Openable",Pendants,14k Gold,,,2356.16,,p031
P067-S,P067,"Ratna Pendant Purple Quartz, Silver, CZ Diamonds, with chain",Pendants,Silver,,,130.14,6,p019 p020
P068-YG14-TQ,P068,"Turquoise Oval Pendant,Yellow Gold 14k, Diamonds 0.216 CTS. 1.88g",Pendants,14k Gold,,,739.73,3,p024
P069-S,P069,"Three Dimensional Endless knot pendant studded with CZ diamonds, with chain",Pendants,Silver,,,390.41,6,
