Sales Code,Description,USD,Ngultrum
E016-14K-TQ,"Bumpa Earrings, Turquoise, 14K Gold, clasp 7.15g, Diamonds .038cts 8.28g"," $ 1,424.66 ","104,000"
E017-YG14-TQ,"Turquoise 14K Gold Earrings, Gold 9.1 Diamonds .21cts Total Weight  13.72g"," $ 2,219.18 ","162,000"
E029-YG14-TQ,"Turquoise Earrings. Diamonds: 0.45 CTS. 14k gold: 4.61g, total weight: 5.86g turquoise: 6.27cts"," $ 1,424.66 ","104,000"
E023-YG14-TQ,"14K Blue Sapphire & Turquoise, Double Dorje, Endless Knot Earrings. Total weight 10.07g, Gold weight 6.44g"," $ 1,575.34 ","115,000"
E045-YG18-COR,"Life Force Coral Gold Earrings with Diamonds 1.01 CTS. YG18: 16.71g, Total: 19.48g"," $ 4,602.74 ","336,000"
E052-YG14-AMB,"Amber bead Earrings, lotus Cap, Bumpa (vase) clasp, vajra Yellow Gold 14k"," $ 1,506.85 ","110,000"
E054-YG14-TQ,Intricate Turquoise and Diamond Earrings 3.23 cts. Diamonds .292 cts.," $ 2,438.36 ","178,000"
E056-YG18-BS-DIA,"Bumpa, Longevity Vase Earrings 18k Yellow Gold 12.74g with Sapphires .285cts, & .Diamonds .254cts."," $ 3,369.86 ","246,000"
B002-S,"One Laughing Skull Silver Macrame Bracelet, 2.65g", $ 95.89 ,"7,000"
B002-YG18,"One Laughing Skull Yellow Gold 18k, Black Diamonds, Macrame Bracelet, 6.99g"," $ 1,328.77 ","97,000"
B003-S,"Five Laughing Skulls Silver Macrame Bracelet, black diamonds, adjustable", $ 287.67 ,"21,000"
B003-YG18,"Five Laughing Skulls, Macrame Bracelet 15 black diamonds .10cts 18k solid gold 22.22g"," $ 4,246.58 ","310,000"
B004-S,"Small single bead, double dorje macrame bracelet, silver, CZ", $ 95.89 ,"7,000"
B004-YGP,"Small Double Dorje Single Bead Macrame Bracelet, Silver Gold Plated", $ 109.59 ,"8,000"
B005-S,"Small five bead, double dorje macrame bracelet, silver", $ 410.96 ,"30,000"
B005-YGP,"Small five bead, double dorje macrame bracelet, silver gold plated ", $ 438.36 ,"32,000"
B007-YGP,"Eight Auspicious Symbols Bracelet, Silver, Gold plating 14.5g", $ 397.26 ,"29,000"
B008-S,"Silver, Oxidized Vajra Clasp Black Leather Bracelet", $ 150.68 ,"11,000"
B009-S-TAN-OX,"Silver, Oxidized Vajra Clasp Tan Leather Bracelet", $ 150.68 ,"11,000"
B009-S-TAN,"Silver, Polished Vajra Clasp Tan Leather Bracelet", $ 150.68 ,"11,000"
B009-S-BLU,"Silver, Polished Vajra Clasp, Blue Leather Bracelet", $ 150.68 ,"11,000"
B009-S-PNK,"Silver, Polished Vajra Clasp, Pink Leather Bracelet", $ 150.68 ,"11,000"
B009-S-WHITE,"Silver, Polished Vajra Clasp, White Leather Bracelet", $ 150.68 ,"11,000"
B009-YG14,14k Yellow Gold Black Leather Vajra Clasp Bracelet 14k 31.6g," $ 3,561.64 ","260,000"
B009-RG14,Rose 14k Gold leather bracelet 14k rose gold 22.36g," $ 2,602.74 ","190,000"
B008B-TT-SNOW,"Silver Oxidized Vajra Clasp Bracelet what 18k solid gold vajra, sting-ray leather, SNOW color", $ 589.04 ,"43,000"
B008B-TT-BLK,"Silver Oxidized Vajra Clasp Bracelet what 18k solid gold vajra, sting-ray leather, Noir color", $ 630.14 ,"46,000"
B008B-S-BLK,"Silver Polished Vajra Clasp Bracelet, sting-ray leather, Noir color", $ 246.58 ,"18,000"
B008B-S-SNOW,"Silver Polished Vajra Clasp Bracelet, sting-ray leather, Natural color", $ 246.58 ,"18,000"
B009-S-CHAIN,Silver Polished Chain Vajra Clasp Bracelet, $ 342.47 ,"25,000"
B010-S,Endless Knot Bracelet Silver 3.73g, $ 143.84 ,"10,500"
B010-YG18,"Endless Knot New Bracelet, YG18, 19cm, 4.64g", $ 876.71 ,"64,000"
B010-YG18-DIA,"Endless Knot New Bracelet, YG18 .20cts diamonds, 5.12g"," $ 1,082.19 ","79,000"
B013-S,"Vajra Chain Bracelet, Silver, Medium, Flat 3 Prongs, 19cm", $ 116.44 ,"8,500"
B013-YGP,"Vajra Chain Bracelet, Yellow Gold 14K, Medium, Flat 3 Prongs, 19cm, 6.64g (Gold plated)", $ 136.99 ,"10,000"
B015A-S,"Continuous Vajras Chain Bracelet, Silver, 19cm (Female Size)", $ 164.38 ,"12,000"
B015B-S,"Continuous Vajras Chain Bracelet, Silver, 23cm (male size)", $ 219.18 ,"16,000"
B014-S-PQ,"Purple Milk Quartz Cabochon Bracelet, 5.39cts, CZ 0.23", $ 191.78 ,"14,000"
B016-S,"Endless Knot Chain Adjustable Bracelet, Silver 4.71g", $ 68.49 ,"5,000"
BA001-S,Infinity edges bangle Silver 4.62g, $ 123.29 ,"9,000"
BA001-YG14,"Infinity Edges Bangle, Solid 14k yellow gold 5.5g", $ 821.92 ,"60,000"
BA002-S,Infinity in middle stainless bangle Silver, $ 109.59 ,"8,000"
BA002-YGP,"Infinity in middle stainless bangle , Yellow Gold Plated", $ 123.29 ,"9,000"
BA002-YG14,"Infinity in middle stainless bangle , Solid 14k Yellow gold, 5.2g", $ 671.23 ,"49,000"
BA003-S,"Solid “Dobchu” Vajra bangle silver 37.5g, clasp", $ 301.37 ,"22,000"
BA004-S,"Endless Knot bangle, Silver, smaller 13.89g", $ 301.37 ,"22,000"
B004-YG18,Eternal Knot 18k yellow gold bangle Mid Size 21.28g," $ 4,054.79 ","296,000"
BA005-S,"Vajra Bangle Silver, CZ 18.59g, regular size", $ 410.96 ,"30,000"
BA005-YGP,"Vajra Bangle Gold Plated, CZ 19.14g", $ 438.36 ,"32,000"
BA007-S,"Flexible Double skull bangle black diamonds, Sterling Silver", $ 260.27 ,"19,000"
R045-YG18,"Brushed/polished band ring, Yellow 18k Gold, 4.14g (female size)"," $ 1,027.40 ","75,000"
R001-S,"Wrathful Protector Ring, Sterling Silver, Oxidized, 23g", $ 547.95 ,"40,000"
R001-DIA,"Silver Mahakala ring with 32 white and black diamonds 0.34cts, 23g"," $ 1,041.10 ","76,000"
R005-S-YG14,"Rahu Ring Ring, Silver, 14K Yellow Gold Ring (2.8g) with white topaz + Black Diamonds", $ 424.66 ,"31,000"
R033-S-BDS,"Kirtimukha (Tsipatta) Ring Silver 20g Black diamonds, yellow sapphire .08cts", $ 246.58 ,"18,000"
R014-S,"Laughing Skull Ring, Silver Black Diamonds 6g", $ 123.29 ,"9,000"
R014-YG14,"Laughing Skull Ring, Black Diamonds, .036 cts 14k Gold 7.50g"," $ 1,315.07 ","96,000"
R046-S-ON,"Dharmachakra, “The Dharma Wheel” Octagonal ring, Silver, Black Onyx", $ 438.36 ,"32,000"
R046-S-ON-DIA,"Dharmachakra, “The Dharma Wheel” Octagonal ring, Silver, Black Onyx & black Diamonds", $ 493.15 ,"36,000"
R017D-S,"Double Dorje Ring, silver, brushed finished surface, sanded insert, polished edges", $ 143.84 ,"10,500"
R017A-S,"Vajra and bell Ring, silver, black enamel, brushed finished surface, sanded insert, polished edges", $ 150.68 ,"11,000"
R017A-S-T,"Vajra and bell Ring, silver, Tiffany blue enamel, brushed finished surface, sanded insert, polished edges", $ 150.68 ,"11,000"
R017B-YG14,"Dorje Bell Samaya Ring, male size 14K Yellow Gold, brushed finished surface, sanded insert, polished edges Central Diamond .025 CTS. 10.49 grams"," $ 1,780.82 ","130,000"
